SITE,LOCATION,ASPECT,TREE,NEW TREE TAG,PRESSURE [MPa],SPECIES (common),SPECIES (sci),DATE COLLECTED,TIME COLLECTED,TIME MEASURED,TIME OF DAY,Paired Measure Day,AGE,WEATHER NOTES,WHAT MEASURED,TREE NOTES,SHOOT HEIGHT ABOVE GROUND SURFACE [m],VIEWER,INSTRUMENT,APPROXIMATE DBH (CM)
RIVENDELL,,,297,,1.3,,ARME,9/3/2015,8:05,9:08,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,297,,1.3,,ARME,9/3/2015,8:05,9:10,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,37,,1.5,,NODE,9/3/2015,7:39,9:13,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,37,,1.3,,NODE,9/3/2015,7:39,9:15,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,70,,2,,ARME,9/3/2015,8:27,9:18,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,70,,2,,ARME,9/3/2015,8:27,9:20,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,300,,1.4,,NODE,9/3/2015,8:42,9:22,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,300,,1.7,,NODE,9/3/2015,8:42,9:24,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,300,,1.5,,NODE,9/3/2015,8:42,9:26,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,TanOak,,1.7,,NODE,9/3/2015,8:47,9:28,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,TanOak,,1.2,,NODE,9/3/2015,8:47,9:30,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,TanOak,,1.35,,NODE,9/3/2015,8:47,9:32,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,24,,1.2,,QUCH,9/3/2015,9:37,9:43,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,24,,0.8,,QUCH,9/3/2015,9:37,9:45,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,24,,1.1,,QUCH,9/3/2015,9:37,9:46,pre-dawn,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,296,,2.5,,QUCH,9/3/2015,12:40,13:45,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,296,,2.6,,QUCH,9/3/2015,12:40,13:47,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,296,,3.5,,QUCH,9/3/2015,12:40,13:50,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,296,,3.1,,QUCH,9/3/2015,12:35,13:52,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,296,,3.8,,QUCH,9/3/2015,12:35,13:55,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,297,,1.4,,ARME,9/3/2015,12:53,13:57,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,297,,1.4,,ARME,9/3/2015,12:53,13:59,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,37,,1.8,,NODE,9/3/2015,12:45,14:02,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,37,,1.9,,NODE,9/3/2015,12:45,14:05,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,299,,2.4,,QUCH,9/3/2015,13:00,14:08,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,299,,2.5,,QUCH,9/3/2015,13:00,14:11,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,70,,3,,ARME,9/3/2015,13:15,14:14,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,70,,3.1,,ARME,9/3/2015,13:15,14:15,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,300,,2.4,,NODE,9/3/2015,13:26,14:17,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,300,,2.3,,NODE,9/3/2015,13:26,14:19,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,TanOak,,2.3,,NODE,9/3/2015,13:30,14:21,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,TanOak,,2,,NODE,9/3/2015,13:30,14:23,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,24,,1.6,,QUCH,9/3/2015,14:26,14:29,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,24,,1.9,,QUCH,9/3/2015,14:26,14:30,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
RIVENDELL,,,24,,1.6,,QUCH,9/3/2015,14:26,14:32,mid-day,9/3/2015,MATURE,,SHOOT,,,C. WONG,,
SAGEHORN,South sandstone,,90,,1.60,,PSME,9/26/2015,10:00,10:30,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,90,,1.60,,PSME,9/26/2015,10:00,10:33,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,88,,1.30,,ARME,9/26/2015,10:00,10:36,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,88,,1.40,,ARME,9/26/2015,10:00,10:38,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,89,,1.30,,ARME,9/26/2015,10:00,10:40,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,89,,1.40,,ARME,9/26/2015,10:00,10:42,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,91,,2.00,,ARME,9/26/2015,10:00,10:44,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,91,,2.00,,ARME,9/26/2015,10:00,10:45,morning,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,205,,4.90,,QUGA,9/26/2015,12:32,1:19,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,205,,5.30,,QUGA,9/26/2015,12:32,1:23,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,206,,4.30,,QUGA,9/26/2015,12:30,1:26,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,206,,4.00,,QUGA,9/26/2015,12:30,1:28,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,207,,4.40,,QUGA,9/26/2015,12:35,1:31,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,207,,4.60,,QUGA,9/26/2015,12:35,1:33,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,90,,2.00,,PSME,9/26/2015,12:51,1:35,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,90,,2.10,,PSME,9/26/2015,12:51,1:37,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,89,,2.50,,ARME,9/26/2015,12:43,1:39,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,89,,2.30,,ARME,9/26/2015,12:43,1:41,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,88,,2.80,,ARME,9/26/2015,12:46,1:43,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,88,,2.30,,ARME,9/26/2015,12:46,1:45,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,208,,4.40,,QUGA,9/26/2015,13:02,1:48,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,208,,4.40,,QUGA,9/26/2015,13:02,1:51,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,210,,3.30,,ARME,9/26/2015,13:07,1:55,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,210,,3.20,,ARME,9/26/2015,13:07,1:57,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,91,,2.40,,ARME,9/26/2015,12:56,2:00,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,91,,2.60,,ARME,9/26/2015,12:56,2:02,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,209,,3.50,,QUGA,9/26/2015,13:05,2:05,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,209,,4.00,,QUGA,9/26/2015,13:05,2:08,mid-day,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,206,,2.00,,QUGA,9/27/2015,7:25,7:56,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,206,,2.00,,QUGA,9/27/2015,7:25,7:59,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,207,,2.80,,QUGA,9/27/2015,7:28,8:01,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,207,,2.90,,QUGA,9/27/2015,7:28,8:03,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,91,,1.50,,ARME,9/27/2015,7:32,8:08,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,91,,1.50,,ARME,9/27/2015,7:32,8:10,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,205,,3.50,,QUGA,9/27/2015,7:25,8:13,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,SOUTH,,205,,3.60,,QUGA,9/27/2015,7:25,8:15,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,89,,0.90,,ARME,9/27/2015,7:37,8:17,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,89,,0.90,,ARME,9/27/2015,7:37,8:19,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,88,,1.10,,ARME,9/27/2015,7:36,8:22,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,88,,1.00,,ARME,9/27/2015,7:36,8:23,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,90,,1.20,,PSME,9/27/2015,7:39,8:26,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,South sandstone,,90,,1.10,,PSME,9/27/2015,7:39,8:27,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,208,,2.30,,QUGA,9/27/2015,7:46,8:30,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,208,,2.30,,QUGA,9/27/2015,7:46,8:32,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,209,,2.00,,QUGA,9/27/2015,7:48,8:35,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,209,,2.30,,QUGA,9/27/2015,7:48,8:37,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,210,,2.80,,ARME,9/27/2015,7:50,8:40,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
SAGEHORN,NORTH,,210,,2.90,,ARME,9/27/2015,7:50,8:42,pre-dawn,9/27/2015,MATURE,,SHOOT,,,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,296,,2.8,,QUCH,10/7/2015,2:10,2:45,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,296,,2.9,,QUCH,10/7/2015,2:10,2:45,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,297,,2.8,,ARME,10/7/2015,2:30,2:47,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,297,,2.9,,ARME,10/7/2015,2:30,2:47,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,620,,2.4,,unknown,10/7/2015,2:20,2:55,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,620,,3.1,,unknown,10/7/2015,2:20,2:55,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,620,,2.2,,unknown,10/7/2015,2:20,2:57,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,38,,1.8,,NODE,10/7/2015,2:25,3:00,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,small tan oak adjacent 620,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,38,,2.2,,NODE,10/7/2015,2:25,3:03,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,38,,2.6,,NODE,10/7/2015,2:25,3:05,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,32,,2.4,,QUCH,10/7/2015,2:30,3:05,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,32,,1.9,,QUCH,10/7/2015,2:30,3:07,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,32,,2.4,,QUCH,10/7/2015,2:30,3:10,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,297,,2.8,,ARME,10/7/2015,2:30,3:15,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,24,,1.7,,QUCH,10/7/2015,3:10,3:15,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,level 2 small oak,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,24,,1.6,,QUCH,10/7/2015,3:10,3:17,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,level 2 small oak,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,24,,1.6,,QUCH,10/7/2015,3:10,3:19,mid-day,10/8/2015,MATURE,"Warm, partly cloudy/overcast day, 75degF",SHOOT,level 2 small oak,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,70,,2.5,,ARME,10/8/2015,7:40,8:43,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,70,,2.5,,ARME,10/8/2015,7:40,8:43,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,Tan Oak,,1.5,,NODE,10/8/2015,8:02,8:46,pre-dawn,10/8/2015,MATURE,,SHOOT,next to 300,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,Tan Oak,,2.1,,NODE,10/8/2015,8:02,8:48,pre-dawn,10/8/2015,MATURE,,SHOOT,next to 300,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,Tan Oak,,1.7,,NODE,10/8/2015,8:02,8:48,pre-dawn,10/8/2015,MATURE,,SHOOT,next to 300,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,37,,2.2,,NODE,10/8/2015,8:11,8:51,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,37,,2.1,,NODE,10/8/2015,8:11,8:53,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,37,,2.1,,NODE,10/8/2015,8:11,8:55,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,299,,1.7,,QUCH,10/8/2015,7:55,8:56,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,299,,1.3,,QUCH,10/8/2015,7:55,8:58,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,299,,1.5,,QUCH,10/8/2015,7:55,8:59,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,38,,1.5,,NODE,10/8/2015,8:08,9:01,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,38,,1.6,,NODE,10/8/2015,8:08,9:02,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,38,,1.4,,NODE,10/8/2015,8:08,9:02,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,Oak,,1.1,,QUCH,10/8/2015,7:45,9:05,pre-dawn,10/8/2015,MATURE,,SHOOT,next to 70,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,Oak,,1.6,,QUCH,10/8/2015,7:45,9:06,pre-dawn,10/8/2015,MATURE,,SHOOT,next to 70,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,296,,1.5,,QUCH,10/8/2015,8:10,9:08,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,296,,1.8,,QUCH,10/8/2015,8:10,9:09,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,296,,1.5,,QUCH,10/8/2015,8:10,9:10,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,300,,2,,NODE,10/8/2015,7:54,9:11,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,C. WONG,Dawson PMS chamber #2,
RIVENDELL,,,300,,1.9,,NODE,10/8/2015,7:54,9:13,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,ISABEL,Dawson PMS chamber #1,
RIVENDELL,,,300,,1.8,,NODE,10/8/2015,7:54,9:13,pre-dawn,10/8/2015,MATURE,,SHOOT,,10,C. WONG,Dawson PMS chamber #2,
